smiles,cramer,ames_alert,ames_sa,gradient
CC/C=C\CC(C)OC(=O)c1ccccc1O,I,0,,none
CCC=CCC(C)OC(=O)c1ccccc1O,I,0,,none
COC(=O)C1CC2CC1C1CC=CC21,I,0,,none
CC(=O)OC1CCCCCCCCCCC1,I,0,,none
c1ccc2cnccc2c1,III,0,,none
c1ccc(C2CO2)cc1,III,1,SA7_Ames,none
CCCCC/C(=C/c1ccccc1)COC=O,II,0,,none
CCCCC/C=C/CCC(=O)OCC,I,0,,none
CCCCC/C=C\CCC(=O)OCC,I,0,,none
CC(=O)OCCC1=CC[C@H]2C[C@@H]1C2(C)C,I,0,,none
CC(=O)OCCC1=CCC2CC1C2(C)C,I,0,,none
O=C([O-])CN(CCN(CC(=O)[O-])CC(=O)[O-])CC(=O)[O-].[Mg+2].[Na+].[Na+],III,0,,II
CCC1(C2CCCCC2)C(=O)NC(=O)NC1=O,III,0,,none
C=CCCCCCCCCCOCCC#N,III,0,,none
COC(=O)[C@@H]1CCC[C@H](C)C1,I,0,,none
CCCC=CC(=O)CCC(C)C,III,1,SA10_Ames,none
COc1ccc(/C=C/C=O)cc1,II,0,,none
COc1ccc(C=CC=O)cc1,II,0,,none
[Ca+2].[OH-].[OH-],III,0,,none
CC(C)[C@H](O)C(C)(C)C,I,0,,none
CCCCCCCCCCCCCC(=O)OC(C)C,I,0,,none
CC1=CC(C=O)=C(C(C)C)CC1,II,1,SA10_Ames,none
CC(C)[C@H](NC(=O)[C@H](CO)NC(=O)[C@@H](NC(=O)[C@H](CCC(N)=O)NC(=O)[C@H](C)N)[C@@H](C)O)C(=O)O,I,0,,III
C=CCOC(=O)CC(C)=O,III,0,,none
CCOCc1ccccc1,III,0,,none
CC1=CC(=O)CC(C)(C)C12CCC(C)O2,II,1,SA10_Ames,none
CCCCCCCCCC(=O)OCC(C)C,I,0,,none
C=CCC1(C(C)CCC)C(=O)[N-]C(=O)NC1=O.[Na+],III,0,,none
Cl[Sn]Cl,III,0,,III
CC1CC1C(=O)O,I,0,,none
C[C@@H](O)[C@H](N)C(=O)O,I,0,,III
CC(O)C(N)C(=O)O,I,0,,III
O.O.O=C1[N-]S(=O)(=O)c2ccccc21.[Na+],III,0,,none
CCCCCC(CC(=O)OCC)OC(C)=O,I,0,,none
CCC12CCC3C(C)(C)CCCC3(C)C1COC2,III,0,,none
CCCCCC1COC(=O)CO1,III,0,,none
O=C([O-])[O-].[Ba+2],III,0,,none
CC1=CC(=O)CC(C)(C)C1=O,II,1,SA10_Ames,none
CCOC(=O)CCCO,I,0,,none
CCCCC/C=C\CO,I,0,,none
CCCCCC=CCO,I,0,,none
CCCCC/C=C/CO,I,0,,none
NC(N)=O.O=[N+]([O-])O,III,0,,II
CCCC(CS)OC(C)=O,I,0,,none
CCCCOC(=O)CC(C)C,I,0,,none
C[C@H]1CC[C@H]2[C@@H]1C1C(CC[C@@]2(C)O)C1(C)C,I,0,,none
C[C@@H]1CC[C@H]2[C@@H]1[C@H]1[C@@H](CC[C@]2(C)O)C1(C)C,I,0,,none
C[C@@H]1CC[C@H]2[C@@H]1C1[C@@H](CC[C@]2(C)O)C1(C)C,I,0,,none
C[C@@H]1CC[C@@H]2[C@@H]1[C@H]1[C@@H](CC[C@@]2(C)O)C1(C)C,I,0,,none
CC1CCC2C1C1C(CCC2(C)O)C1(C)C,I,0,,none
C[C@H]1CCC2C1C1C(CC[C@@]2(C)O)C1(C)C,I,0,,none
CCOC(=O)/C(=C/c1ccccc1)C(C)=O,II,0,,none
CCOC(=O)C(=Cc1ccccc1)C(C)=O,II,0,,none
CCOC(=O)/C(=C\c1ccccc1)C(C)=O,II,0,,none
CCCOC(=O)C(C)C,I,0,,none
CCCCCC(O)(O)CC,I,0,,none
C=C(C)[C@H]1CC[C@@H](C)C(=O)C1,I,0,,none
C=C(C)[C@@H]1CC[C@H](C)C(=O)C1,I,0,,none
C=C(C)[C@H]1CC[C@H](C)C(=O)C1,I,0,,none
C=C(C)[C@@H]1CC[C@@H](C)C(=O)C1,I,0,,none
C=C(C)C1CCC(C)C(=O)C1,I,0,,none
CC(=O)OC(C)/C=C(\C)CCC=C(C)C,I,0,,none
CC(=O)OC(C)C=C(C)CCC=C(C)C,I,0,,none
O=C1C=CC(=O)C=C1,II,1,SA12_Ames,none
COc1cc(O)cc(OC)c1C(C)=O,I,0,,none
FC(F)(Br)Br,III,0,,III
CC(O)COCC(C)O,III,0,,none
CC(C(=O)CCC(=O)O)C(O)CCCCC=O,III,1,SA11_Ames,none
O=Cc1ccoc1,II,1,SA11_Ames,none
CCCCCC[C@@H](O)C/C=C\CCCCCCCC(=O)OCC,I,0,,none
COc1cc(C(C)C)cc(O)c1O,I,0,,none
CCCC(=O)C(CC)C(=O)OCC,I,0,,none
COC(=O)C(C)Oc1ccc(Oc2ccc(Cl)cc2Cl)cc1,III,0,,III
CCCCC1(CC)CCC(=O)OC1,I,0,,none
CCCCCCCCCCCC(=O)N(C)CC(=O)O,I,0,,II
CC1(C)CC(=O)CC(=O)C1,I,0,,none
CCC/C=C/CCCCC(=O)OC(CCCC)CCCCC(=O)O,I,0,,none
CCCC(=O)C(=O)CCC(=O)CC(C)=O,III,0,,none
O=[N+]([O-])c1ccc(-c2ccccc2)cc1,III,1,SA27_Ames,II
CCC(C)(C)c1ccc(CCO)cc1,I,0,,none
O=C1CCCCCCCCCCCC(=O)OCO1,III,0,,none
CCC(=O)OC1C=CC2C3CCC(C3)C12,I,0,,none
Cc1nc(C)c(C)s1,II,0,,none
FC(F)(F)C(F)(Cl)Cl,III,0,,I
CC(C)C(=O)C(=O)C(C)C,III,0,,none
C=CC(=O)OC,I,0,,none
COC(=O)c1ccccc1S,III,0,,none
C=CC(C)(CCC=C(C)C)OC,I,0,,none
ClCc1ccccc1Cl,III,1,SA8_Ames,III
C/C=C/C=C/C=O,II,1,SA10_Ames,none
CC=CC=CC=O,II,1,SA10_Ames,none
